

 ---------------------------PIR NO 1--------------------------------- 

Started at 2018-01-28 13:19:00.472408
[Pir no. 1 2018-01-28] On from 13:21:41.512151 to 13:21:41.522960 for 0:00:00.010809. Cumulative t_on / t_off is 0.541596257870838
[Pir no. 1 2018-01-28] On from 13:21:41.532176 to 13:21:41.543033 for 0:00:00.010857. Cumulative t_on / t_off is 0.5415636710238424
[Pir no. 1 2018-01-28] On from 13:21:41.552172 to 13:21:41.563085 for 0:00:00.010913. Cumulative t_on / t_off is 0.5416779851759866
[Pir no. 1 2018-01-28] On from 13:21:41.572273 to 13:21:41.583029 for 0:00:00.010756. Cumulative t_on / t_off is 0.5415814876443048
[Pir no. 1 2018-01-28] On from 13:21:41.592254 to 13:21:41.603014 for 0:00:00.010760. Cumulative t_on / t_off is 0.5414565008962441
[Pir no. 1 2018-01-28] On from 13:21:41.612347 to 13:21:41.623093 for 0:00:00.010746. Cumulative t_on / t_off is 0.5412140880022908
[Pir no. 1 2018-01-28] On from 13:21:41.632329 to 13:21:41.643092 for 0:00:00.010763. Cumulative t_on / t_off is 0.5411033965372678
[Pir no. 1 2018-01-28] On from 13:21:41.652339 to 13:21:41.663097 for 0:00:00.010758. Cumulative t_on / t_off is 0.5409859324787356
[Pir no. 1 2018-01-28] On from 13:21:41.672412 to 13:21:41.683116 for 0:00:00.010704. Cumulative t_on / t_off is 0.540769209689795
[Pir no. 1 2018-01-28] On from 13:21:41.692456 to 13:21:41.703193 for 0:00:00.010737. Cumulative t_on / t_off is 0.5405704786331296
[Pir no. 1 2018-01-28] On from 13:21:41.712459 to 13:21:41.723267 for 0:00:00.010808. Cumulative t_on / t_off is 0.5405000448700691
[Pir no. 1 2018-01-28] On from 13:21:41.732431 to 13:21:41.743244 for 0:00:00.010813. Cumulative t_on / t_off is 0.5405248447204969
[Pir no. 1 2018-01-28] On from 13:21:41.752497 to 13:21:41.763409 for 0:00:00.010912. Cumulative t_on / t_off is 0.5405442029378286
[Pir no. 1 2018-01-28] On from 13:21:41.772573 to 13:21:41.783444 for 0:00:00.010871. Cumulative t_on / t_off is 0.540602834547158
[Pir no. 1 2018-01-28] On from 13:21:41.792599 to 13:21:41.803386 for 0:00:00.010787. Cumulative t_on / t_off is 0.5406125469010512
[Pir no. 1 2018-01-28] On from 13:21:41.812625 to 13:21:41.823439 for 0:00:00.010814. Cumulative t_on / t_off is 0.5405761439614247
[Pir no. 1 2018-01-28] On from 13:21:41.832615 to 13:21:41.843431 for 0:00:00.010816. Cumulative t_on / t_off is 0.5405872448725925
[Pir no. 1 2018-01-28] On from 13:21:41.852703 to 13:21:41.863325 for 0:00:00.010622. Cumulative t_on / t_off is 0.5404132017244222
[Pir no. 1 2018-01-28] On from 13:21:41.872700 to 13:21:41.883446 for 0:00:00.010746. Cumulative t_on / t_off is 0.5402511087704444
[Pir no. 1 2018-01-28] On from 13:21:41.892661 to 13:21:41.903503 for 0:00:00.010842. Cumulative t_on / t_off is 0.5402594689763732
[Pir no. 1 2018-01-28] On from 13:21:41.912783 to 13:21:41.923512 for 0:00:00.010729. Cumulative t_on / t_off is 0.5401611371072723
[Pir no. 1 2018-01-28] On from 13:21:41.932775 to 13:21:41.943502 for 0:00:00.010727. Cumulative t_on / t_off is 0.5400766116518884
[Pir no. 1 2018-01-28] On from 13:21:41.952849 to 13:21:41.963565 for 0:00:00.010716. Cumulative t_on / t_off is 0.5399382868170506
[Pir no. 1 2018-01-28] On from 13:21:41.972864 to 13:21:41.983639 for 0:00:00.010775. Cumulative t_on / t_off is 0.5398668466769336
[Pir no. 1 2018-01-28] On from 13:21:41.992852 to 13:21:42.003660 for 0:00:00.010808. Cumulative t_on / t_off is 0.5398643105289811
[Pir no. 1 2018-01-28] On from 13:21:42.012891 to 13:21:42.023756 for 0:00:00.010865. Cumulative t_on / t_off is 0.5398832463864681
[Pir no. 1 2018-01-28] On from 13:21:42.032881 to 13:21:42.043757 for 0:00:00.010876. Cumulative t_on / t_off is 0.5399656118715274
[Pir no. 1 2018-01-28] On from 13:21:42.052946 to 13:21:42.063722 for 0:00:00.010776. Cumulative t_on / t_off is 0.5399604760295207
[Pir no. 1 2018-01-28] On from 13:21:42.073010 to 13:21:42.083795 for 0:00:00.010785. Cumulative t_on / t_off is 0.5399065562947539
[Pir no. 1 2018-01-28] On from 13:21:42.093020 to 13:21:42.103774 for 0:00:00.010754. Cumulative t_on / t_off is 0.5398733736175126
[Pir no. 1 2018-01-28] On from 13:21:42.113036 to 13:21:42.123822 for 0:00:00.010786. Cumulative t_on / t_off is 0.5398358351714849
[Pir no. 1 2018-01-28] On from 13:21:42.133089 to 13:21:42.143843 for 0:00:00.010754. Cumulative t_on / t_off is 0.5397846065479609
[Pir no. 1 2018-01-28] On from 13:21:42.153175 to 13:21:42.163852 for 0:00:00.010677. Cumulative t_on / t_off is 0.5396695682068594
[Pir no. 1 2018-01-28] On from 13:21:42.173192 to 13:21:42.183851 for 0:00:00.010659. Cumulative t_on / t_off is 0.5395461577752658
